dimensions.code,dimensions.label,land,land_code,fylke,fylke_code,kommune,kommune_code,bydel,bydel_code,region_code,region_navn,region_level
GEO,Geografi,Hele landet,0,Buskerud,33,Sigdal,3332,,,3332,Sigdal,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Flesberg,3334,,,3334,Flesberg,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Rollag,3336,,,3336,Rollag,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Nore og Uvdal,3338,,,3338,Nore og Uvdal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,,,,,34,Innlandet,fylke
GEO,Geografi,Hele landet,0,Innlandet,34,Kongsvinger,3401,,,3401,Kongsvinger,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Hamar,3403,,,3403,Hamar,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Lillehammer,3405,,,3405,Lillehammer,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Gjøvik,3407,,,3407,Gjøvik,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Ringsaker,3411,,,3411,Ringsaker,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Løten,3412,,,3412,Løten,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Stange,3413,,,3413,Stange,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Nord-Odal,3414,,,3414,Nord-Odal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Sør-Odal,3415,,,3415,Sør-Odal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Eidskog,3416,,,3416,Eidskog,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Grue,3417,,,3417,Grue,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Åsnes,3418,,,3418,Åsnes,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Våler (Innlandet),3419,,,3419,Våler (Innlandet),kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Elverum,3420,,,3420,Elverum,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Trysil,3421,,,3421,Trysil,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Åmot,3422,,,3422,Åmot,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Stor-Elvdal,3423,,,3423,Stor-Elvdal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Rendalen,3424,,,3424,Rendalen,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Engerdal,3425,,,3425,Engerdal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Tolga,3426,,,3426,Tolga,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Tynset,3427,,,3427,Tynset,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Alvdal,3428,,,3428,Alvdal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Folldal,3429,,,3429,Folldal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Os,3430,,,3430,Os,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Dovre,3431,,,3431,Dovre,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Lesja,3432,,,3432,Lesja,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Skjåk,3433,,,3433,Skjåk,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Lom,3434,,,3434,Lom,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Vågå,3435,,,3435,Vågå,kommune
