kommunenr_2024,kommunenavn_2024,Kilde,kommunenr_historiske,kommuner_alle.name
3124,Aremark,kommunenr_2020,3012,Aremark
3201,Bërum,kommunenr_2024,3201,Bërum
3201,Bërum,kommunenr_2020,3024,Bërum
3201,Bërum,kommunenr_1977,0219,Bërum
3203,Asker,kommunenr_1977,0220,Asker
3203,Asker,kommunenr_1977,0628,Hurum
3203,Asker,kommunenr_1977,0627,Rõyken
3203,Asker,kommunenr_2020,3025,Asker
3203,Asker,kommunenr_2024,3203,Asker
3205,Lillestrõm,kommunenr_2024,3205,Lillestrõm
3205,Lillestrõm,kommunenr_1977,0226,Sõrum
3205,Lillestrõm,kommunenr_1977,0227,Fet
3205,Lillestrõm,kommunenr_1977,0231,Skedsmo
3205,Lillestrõm,kommunenr_2020,3030,Lillestrõm
3207,Nordre Follo,kommunenr_2024,3207,Nordre Follo
3207,Nordre Follo,kommunenr_1977,0217,OppegÜrd
3207,Nordre Follo,kommunenr_2020,3020,Nordre Follo
3207,Nordre Follo,kommunenr_1977,0213,Ski
3209,Ullensaker,kommunenr_2024,3209,Ullensaker
3209,Ullensaker,kommunenr_1977,0235,Ullensaker
3209,Ullensaker,kommunenr_2020,3033,Ullensaker
3212,Nesodden,kommunenr_2024,3212,Nesodden
3212,Nesodden,kommunenr_1977,0216,Nesodden
3212,Nesodden,kommunenr_2020,3023,Nesodden
3214,Frogn,kommunenr_2024,3214,Frogn
3214,Frogn,kommunenr_2020,3022,Frogn
3214,Frogn,kommunenr_1977,0215,Frogn
3216,Vestby,kommunenr_2020,3019,Vestby
3216,Vestby,kommunenr_2024,3216,Vestby
3216,Vestby,kommunenr_1977,0211,Vestby
3218,ès,kommunenr_1977,0214,ès
3218,ès,kommunenr_2020,3021,ès
3218,ès,kommunenr_2024,3218,ès
3220,Enebakk,kommunenr_2024,3220,Enebakk
3220,Enebakk,kommunenr_2020,3028,Enebakk
3220,Enebakk,kommunenr_1977,0229,Enebakk
3222,Lõrenskog,kommunenr_2020,3029,Lõrenskog
3222,Lõrenskog,kommunenr_1977,0230,Lõrenskog
3222,Lõrenskog,kommunenr_2024,3222,Lõrenskog
3224,Rëlingen,kommunenr_2020,3027,Rëlingen
3224,Rëlingen,kommunenr_1977,0228,Rëlingen
3224,Rëlingen,kommunenr_2024,3224,Rëlingen
3226,Aurskog-Hõland,kommunenr_2020,3026,Aurskog-Hõland
3226,Aurskog-Hõland,kommunenr_2024,3226,Aurskog-Hõland
3226,Aurskog-Hõland,kommunenr_1977,0121,Rõmskog
3226,Aurskog-Hõland,kommunenr_1977,0221,Aurskog-Hõland
3228,Nes,kommunenr_2020,3034,Nes
3228,Nes,kommunenr_1977,0236,Nes (Akershus)
3228,Nes,kommunenr_2024,3228,Nes
3230,Gjerdrum,kommunenr_1977,0234,Gjerdrum
3230,Gjerdrum,kommunenr_2020,3032,Gjerdrum
3230,Gjerdrum,kommunenr_2024,3230,Gjerdrum
3232,Nittedal,kommunenr_1977,0233,Nittedal
3232,Nittedal,kommunenr_2024,3232,Nittedal
3232,Nittedal,kommunenr_2020,3031,Nittedal
3234,Lunner,kommunenr_1977,0533,Lunner
3234,Lunner,kommunenr_2024,3234,Lunner
3234,Lunner,kommunenr_2020,3054,Lunner
3236,Jevnaker,kommunenr_2020,3053,Jevnaker
3236,Jevnaker,kommunenr_1977,0532,Jevnaker
3236,Jevnaker,kommunenr_2024,3236,Jevnaker
3238,Nannestad,kommunenr_2024,3238,Nannestad
3238,Nannestad,kommunenr_2020,3036,Nannestad
3238,Nannestad,kommunenr_1977,0238,Nannestad
3240,Eidsvoll,kommunenr_1977,0237,Eidsvoll
3240,Eidsvoll,kommunenr_2024,3240,Eidsvoll
3240,Eidsvoll,kommunenr_2020,3035,Eidsvoll
3242,Hurdal,kommunenr_2024,3242,Hurdal
3242,Hurdal,kommunenr_1977,0239,Hurdal
3242,Hurdal,kommunenr_2020,3037,Hurdal
3301,Drammen,kommunenr_1977,0625,Nedre Eiker
3301,Drammen,kommunenr_1977,0602,Drammen
3301,Drammen,kommunenr_1977,0711,Svelvik
3301,Drammen,kommunenr_2020,3005,Drammen
3301,Drammen,kommunenr_2024,3301,Drammen
3303,Kongsberg,kommunenr_2024,3303,Kongsberg
3303,Kongsberg,kommunenr_1977,0604,Kongsberg
