kommunenr_2024,kommunenavn_2024,kilde,kommunenr_historiske,kommunenavn_historiske
3909,Larvik,kommunenr_1977,0707,Larvik
3909,Larvik,kommunenr_2018,0712,Larvik
3909,Larvik,kommunenr_1977,0727,Hedrum
3909,Larvik,kommunenr_1988,0709,Larvik
3909,Larvik,kommunenr_1977,0725,Tjølling
3909,Larvik,kommunenr_2024,3909,Larvik
3909,Larvik,kommunenr_2020,3805,Larvik
3909,Larvik,kommunenr_1977,0728,Lardal
3909,Larvik,kommunenr_1977,0708,Stavern
3911,Færder,kommunenr_2024,3911,Færder
3911,Færder,kommunenr_2018,0729,Færder
3911,Færder,kommunenr_1977,0723,Tjøme
3911,Færder,kommunenr_2020,3811,Færder
3911,Færder,kommunenr_1977,0722,Nøtterøy
4001,Porsgrunn,kommunenr_1977,0805,Porsgrunn
4001,Porsgrunn,kommunenr_2020,3806,Porsgrunn
4001,Porsgrunn,kommunenr_2024,4001,Porsgrunn
4003,Skien,kommunenr_2020,3807,Skien
4003,Skien,kommunenr_2024,4003,Skien
4003,Skien,kommunenr_1977,0806,Skien
4005,Notodden,kommunenr_2020,3808,Notodden
4005,Notodden,kommunenr_2024,4005,Notodden
4005,Notodden,kommunenr_1977,0807,Notodden
4010,Siljan,kommunenr_1977,0811,Siljan
4010,Siljan,kommunenr_2020,3812,Siljan
4010,Siljan,kommunenr_2024,4010,Siljan
4012,Bamble,kommunenr_2024,4012,Bamble
4012,Bamble,kommunenr_1977,0814,Bamble
4012,Bamble,kommunenr_2020,3813,Bamble
4014,Kragerø,kommunenr_2020,3814,Kragerø
4014,Kragerø,kommunenr_2024,4014,Kragerø
4014,Kragerø,kommunenr_1977,0815,Kragerø
4016,Drangedal,kommunenr_1977,0817,Drangedal
4016,Drangedal,kommunenr_2020,3815,Drangedal
4016,Drangedal,kommunenr_2024,4016,Drangedal
4018,Nome,kommunenr_2024,4018,Nome
4018,Nome,kommunenr_2020,3816,Nome
4018,Nome,kommunenr_1977,0819,Nome
4020,Midt-Telemark,kommunenr_1977,0821,Bø (Telemark)
4020,Midt-Telemark,kommunenr_1977,0822,Sauherad
4020,Midt-Telemark,kommunenr_2024,4020,Midt-Telemark
4020,Midt-Telemark,kommunenr_2020,3817,Midt-Telemark
4022,Seljord,kommunenr_2020,3820,Seljord
4022,Seljord,kommunenr_2024,4022,Seljord
4022,Seljord,kommunenr_1977,0828,Seljord
4024,Hjartdal,kommunenr_2020,3819,Hjartdal
4024,Hjartdal,kommunenr_1977,0827,Hjartdal
4024,Hjartdal,kommunenr_2024,4024,Hjartdal
4026,Tinn,kommunenr_1977,0826,Tinn
4026,Tinn,kommunenr_2020,3818,Tinn
4026,Tinn,kommunenr_2024,4026,Tinn
4028,Kviteseid,kommunenr_2024,4028,Kviteseid
4028,Kviteseid,kommunenr_2020,3821,Kviteseid
4028,Kviteseid,kommunenr_1977,0829,Kviteseid
4030,Nissedal,kommunenr_1977,0830,Nissedal
4030,Nissedal,kommunenr_2020,3822,Nissedal
4030,Nissedal,kommunenr_2024,4030,Nissedal
4032,Fyresdal,kommunenr_2020,3823,Fyresdal
4032,Fyresdal,kommunenr_1977,0831,Fyresdal
4032,Fyresdal,kommunenr_2024,4032,Fyresdal
4034,Tokke,kommunenr_1977,0833,Tokke
4034,Tokke,kommunenr_2020,3824,Tokke
4034,Tokke,kommunenr_2024,4034,Tokke
4036,Vinje,kommunenr_2020,3825,Vinje
4036,Vinje,kommunenr_2024,4036,Vinje
4036,Vinje,kommunenr_1977,0834,Vinje
4201,Risør,kommunenr_1977,0901,Risør
4201,Risør,kommunenr_2020,4201,Risør
4202,Grimstad,kommunenr_1977,0904,Grimstad
4202,Grimstad,kommunenr_2020,4202,Grimstad
4203,Arendal,kommunenr_2020,4203,Arendal
4203,Arendal,kommunenr_1977,0920,Øyestad
4203,Arendal,kommunenr_1977,0922,Hisøy
4203,Arendal,kommunenr_1992,0906,Arendal
4203,Arendal,kommunenr_1977,0918,Moland
4203,Arendal,kommunenr_1977,0903,Arendal
4203,Arendal,kommunenr_1977,0921,Tromøy
4204,Kristiansand,kommunenr_1977,1018,Søgne
4204,Kristiansand,kommunenr_2020,4204,Kristiansand
4204,Kristiansand,kommunenr_1977,1001,Kristiansand
4204,Kristiansand,kommunenr_1977,1017,Songdalen
4205,Lindesnes,kommunenr_1977,1002,Mandal
