kommunenr_2024,kommunenavn_2024,oek_regnr,oek_regnavn,validFrom
4642,Lærdal,46008,Indre Sogn,2024-01-01
4643,Årdal,46008,Indre Sogn,2024-01-01
4644,Luster,46008,Indre Sogn,2024-01-01
4645,Askvoll,46009,Sunnfjord og Ytre Sogn,2024-01-01
4646,Fjaler,46009,Sunnfjord og Ytre Sogn,2024-01-01
4647,Sunnfjord,46009,Sunnfjord og Ytre Sogn,2024-01-01
4648,Bremanger,46010,Nordfjord og Kinn,2024-01-01
4649,Stad,46010,Nordfjord og Kinn,2024-01-01
4650,Gloppen,46010,Nordfjord og Kinn,2024-01-01
4651,Stryn,46010,Nordfjord og Kinn,2024-01-01
5001,Trondheim - Tråante,50003,Trondheim,2024-01-01
5006,Steinkjer,50007,Steinkjer,2024-01-01
5007,Namsos - Nåavmesjenjaelmie,50009,Namdal,2024-01-01
5014,Frøya,50002,Orkland og øyregionen,2024-01-01
5020,Osen,50008,Fosen,2024-01-01
5021,Oppdal,50001,Trøndelag sør,2024-01-01
5022,Rennebu,50001,Trøndelag sør,2024-01-01
5025,Røros - Rossen,50001,Trøndelag sør,2024-01-01
5026,Holtålen,50001,Trøndelag sør,2024-01-01
5027,Midtre Gauldal,50001,Trøndelag sør,2024-01-01
5028,Melhus,50004,Trondheim forstad,2024-01-01
5029,Skaun,50004,Trondheim forstad,2024-01-01
5031,Malvik,50004,Trondheim forstad,2024-01-01
5032,Selbu,50005,Værnes,2024-01-01
5033,Tydal,50005,Værnes,2024-01-01
5034,Meråker,50005,Værnes,2024-01-01
5035,Stjørdal,50005,Værnes,2024-01-01
5036,Frosta,50006,Levanger/Verdalsøra,2024-01-01
5037,Levanger,50006,Levanger/Verdalsøra,2024-01-01
5038,Verdal,50006,Levanger/Verdalsøra,2024-01-01
5041,Snåase - Snåsa,50007,Steinkjer,2024-01-01
5042,Lierne,50009,Namdal,2024-01-01
5043,Raarvihke - Røyrvik,50009,Namdal,2024-01-01
5044,Namsskogan,50009,Namdal,2024-01-01
5045,Grong,50009,Namdal,2024-01-01
5046,Høylandet,50009,Namdal,2024-01-01
5047,Overhalla,50009,Namdal,2024-01-01
5049,Flatanger,50009,Namdal,2024-01-01
5052,Leka,50009,Namdal,2024-01-01
5053,Inderøy,50007,Steinkjer,2024-01-01
5054,Indre Fosen,50008,Fosen,2024-01-01
5055,Heim,50002,Orkland og øyregionen,2024-01-01
5056,Hitra,50002,Orkland og øyregionen,2024-01-01
5057,Ørland,50008,Fosen,2024-01-01
5058,Åfjord,50008,Fosen,2024-01-01
5059,Orkland,50002,Orkland og øyregionen,2024-01-01
5060,Nærøysund,50009,Namdal,2024-01-01
5061,Rindal,50002,Orkland og øyregionen,2024-01-01
5501,Tromsø,55003,Tromsø,2024-01-01
5503,Harstad - Hárstták,55001,Sør-Troms,2024-01-01
5510,Kvæfjord,55001,Sør-Troms,2024-01-01
5512,Dielddanuorri - Tjeldsund,55001,Sør-Troms,2024-01-01
5514,Ibestad,55001,Sør-Troms,2024-01-01
5516,Gratangen,55001,Sør-Troms,2024-01-01
5518,Loabák - Lavangen,55001,Sør-Troms,2024-01-01
5520,Bardu,55002,Midt-Troms,2024-01-01
5522,Salangen,55001,Sør-Troms,2024-01-01
5524,Målselv,55002,Midt-Troms,2024-01-01
5526,Sørreisa,55002,Midt-Troms,2024-01-01
5528,Dyrøy,55002,Midt-Troms,2024-01-01
5530,Senja,55002,Midt-Troms,2024-01-01
5532,Balsfjord,55004,Nord-Troms,2024-01-01
5534,Karlsøy,55004,Nord-Troms,2024-01-01
5536,Lyngen,55004,Nord-Troms,2024-01-01
5538,Storfjord - Omasvuotna - Omasvuono,55004,Nord-Troms,2024-01-01
5540,Gáivuotna - Kåfjord - Kaivuono,55004,Nord-Troms,2024-01-01
5542,Skjervøy,55004,Nord-Troms,2024-01-01
5544,Nordreisa - Ráisa - Raisi,55004,Nord-Troms,2024-01-01
5546,Kvænangen,55004,Nord-Troms,2024-01-01
5601,Alta,56001,Vest-Finnmark,2024-01-01
5603,Hammerfest - Hámmerfeasta,56002,Midt-Finnmark,2024-01-01
5605,Sør-Varanger,56003,Øst-Finnmark,2024-01-01
5607,Vadsø,56003,Øst-Finnmark,2024-01-01
5610,Kárá?johka - Karasjok,56002,Midt-Finnmark,2024-01-01
5612,Guovdageaidnu - Kautokeino,56001,Vest-Finnmark,2024-01-01
5614,Loppa,56001,Vest-Finnmark,2024-01-01
5616,Hasvik,56001,Vest-Finnmark,2024-01-01
5618,Måsøy,56002,Midt-Finnmark,2024-01-01
5620,Nordkapp,56002,Midt-Finnmark,2024-01-01
5622,Porsanger - Porsángu - Porsanki,56002,Midt-Finnmark,2024-01-01
5624,Lebesby,56002,Midt-Finnmark,2024-01-01
5626,Gamvik,56002,Midt-Finnmark,2024-01-01
5628,Deatnu - Tana,56003,Øst-Finnmark,2024-01-01
5630,Berlevåg,56003,Øst-Finnmark,2024-01-01
5632,Båtsfjord,56003,Øst-Finnmark,2024-01-01
5634,Vardø,56003,Øst-Finnmark,2024-01-01
5636,Unjárga - Nesseby,56003,Øst-Finnmark,2024-01-01
